"","score","text"
"1",1,"Our hot selling product: Bitdefender AntiVirus Plus  Electronic License Key Only , see at "
"2",0,"BitdefenderBOX Bitdefender did you know you had ads on BreitbartNews ??"
"3",0,"Are you looking for Antivirus? #BitDefender #Antivirus #Plus 2017 #deals #coupon on 2016 version "
"4",-1,"RT familyfocusblog: Results of BitdefenderBOXs #IoT and cyber security survey are in, and cyber attacks are a real concern! Protect your"
"5",-3,"RT Bitdefender_Ent: From #ransomware and targeted attacks, to politically-motivated digital propaganda and fake news, and how to counter t"
"6",-2,"RT gcluley: r/t Australian airport hack was a near miss says governments... "
"7",-1,"RT familyfocusblog: Results of BitdefenderBOXs #IoT and cyber security survey are in, and cyber attacks are a real concern! Protect your"
"8",1,"RT joe_carson: hacker simply used the login credentials of a third-party contractor to gain unauthorised access to what should have been a"
"9",-1,"RT HerjavecGroup: A hacking attack [recently] compromised the computer network of Perth International Airport, and reportedly resulted in"
"10",0,"&gt;10% Off Bitdefender Total Security 2017 "
"11",0,"&gt;10% Off Bitdefender Total Security 2017 "
"12",-1,"A hacking attack [recently] compromised the computer network of Perth International Airport, and reportedly result "
"13",-3,"From #ransomware and targeted attacks, to politically-motivated digital propaganda and fake news, and how to counte "
"14",1,"Title Is Bitdefender Mobile Security Antivirus Premium v3.2.99.218 Apk Free Download
Post Url Is "
"15",-2,"Australian airport hack was a near miss says governments cybersecurity expert "
"16",0,"_naomikate yes. its a myth that macs cant get viruses. i recommend bitdefender."
"17",-1,"RT familyfocusblog: Results of BitdefenderBOXs #IoT and cyber security survey are in, and cyber attacks are a real concern! Protect your"
"18",0,"AdGuard Seemed to be! I have Bitdefender, tried adding AG to the exclusions list (also turned off Stealth mode in "
"19",-1,"Indian government bans 42 Chinese apps for fear of cyberespionage "
"20",-1,"Russian hackers go unreported for 18 months, steal $10 million "
"21",-1,"Australian airport hack was &amp;#8220;a near miss&amp;#8221; says government&amp;#8217;s cybersecurity expert "
"22",0,"HP laptops found carrying keylogger in Synaptics touchpad driver "
"23",1,"Trump signs National Defense Authorization Act; drone registration is back "
"24",-1,"RT BitdefenderBOX: Weve already imagined the worst #SmartDevices hacking scenarios and developed the antidote for them. It is called #Bit"
"25",-1,"RT BitdefenderBOX: Weve already imagined the worst #SmartDevices hacking scenarios and developed the antidote for them. It is called #Bit"
"26",2,"Thank you to our Gold Sponsors to #NordicVMUG January 11th in Copenhagen "
"27",2,"Thank you to our Gold Sponsors to #NordicVMUG January 11th in Copenhagen "
"28",0,"askfahim Do you have Bitdefender or something similar installed?"
"29",-1,"Australian airport hack was &amp;#8220;a near miss&amp;#8221; says government&amp;#8217;s cybersecurity expert "
"30",-2,"For the second time this year, Hewlett Packard (HP) computers have been found vulnerable to hacker attacks due to "
"31",1,"ONEBS-News #onebsnews #onebs #kaspersky #trump #bitdefender "
"32",0,"""A near miss"" - Here's how a hacker used login credentials to gain unauthorised access to Perth International Airpo "
"33",0,"""A near miss"" - Here's how a hacker used login credentials to gain unauthorised access to Perth International Airpo "
"34",0,"Bitdefender I'm trying to buy 5-device 1 year license for 
Total Security 2018 form Mexico. The price is 50% off b "
"35",-1,"Dubbed MoneyTaker for the #hijacking software used to corrupt payment orders, the group passed undetected for 18 mo "
"36",1,"RT prpcsltd: Get protected Bitdefender .. speak to me prpcsltd #security #malware #ransomware #protection "
"37",1,"Get protected Bitdefender .. speak to me prpcsltd #security #malware #ransomware #protection "
"38",-1,"RT BitdefenderBOX: Weve already imagined the worst #SmartDevices hacking scenarios and developed the antidote for them. It is called #Bit"
"39",1,"hacker simply used the login credentials of a third-party contractor to gain unauthorised access to what should hav "
"40",0,"geekzonenzforum NZParliament Bitdefender Haha so that is actually *my* security certificate?

#shame #mybad

My "
"41",0,"#BitDefender #Antivirus Plus 2017 Review and #SAVE #Coupon on 2016 version "
"42",-2,"Australian airport hack was 'a near miss' says government's cybersecurity expert "
"43",0,"RT Jigsaw: Cryptojacking is a type of malware that uses victims computers to mine cryptocurrency and its reportedly becoming more popu"
"44",1,"""A near miss"".Here's how a hacker used login credentials to gain unauthorised access to Perth International Airport "
"45",-1,"The ABC of Cybersecurity  Android Threats: R is for Ransomware "
